ZONA METROPOLITANA,CONTROL,CICLO,PRIMER INGRESO
NO ES ZM,PRIVADO,2014,38740
NO ES ZM,PRIVADO,2015,46270
NO ES ZM,PRIVADO,2016,46242
NO ES ZM,PRIVADO,2017,49375
NO ES ZM,PRIVADO,2018,54427
NO ES ZM,PRIVADO,2019,56334
NO ES ZM,PRIVADO,2020,49112
NO ES ZM,PRIVADO,2021,58010
NO ES ZM,PRIVADO,2022,64935
NO ES ZM,PRIVADO,2023,58495
NO ES ZM,PRIVADO,2024,58802
NO ES ZM,PUBLICO,2014,154411
NO ES ZM,PUBLICO,2015,160038
NO ES ZM,PUBLICO,2016,164247
NO ES ZM,PUBLICO,2017,166056
NO ES ZM,PUBLICO,2018,172449
NO ES ZM,PUBLICO,2019,181920
NO ES ZM,PUBLICO,2020,163304
NO ES ZM,PUBLICO,2021,158266
NO ES ZM,PUBLICO,2022,176221
NO ES ZM,PUBLICO,2023,176561
NO ES ZM,PUBLICO,2024,182744
ZM DE ACAPULCO,PRIVADO,2014,1386
ZM DE ACAPULCO,PRIVADO,2015,2003
ZM DE ACAPULCO,PRIVADO,2016,2061
ZM DE ACAPULCO,PRIVADO,2017,1995
ZM DE ACAPULCO,PRIVADO,2018,2809
ZM DE ACAPULCO,PRIVADO,2019,2731
ZM DE ACAPULCO,PRIVADO,2020,1980
ZM DE ACAPULCO,PRIVADO,2021,2320
ZM DE ACAPULCO,PRIVADO,2022,2782
ZM DE ACAPULCO,PRIVADO,2023,2519
ZM DE ACAPULCO,PRIVADO,2024,2474
ZM DE ACAPULCO,PUBLICO,2014,4755
ZM DE ACAPULCO,PUBLICO,2015,5083
ZM DE ACAPULCO,PUBLICO,2016,4871
ZM DE ACAPULCO,PUBLICO,2017,5091
ZM DE ACAPULCO,PUBLICO,2018,5191
ZM DE ACAPULCO,PUBLICO,2019,5724
ZM DE ACAPULCO,PUBLICO,2020,5359
ZM DE ACAPULCO,PUBLICO,2021,5363
ZM DE ACAPULCO,PUBLICO,2022,5333
ZM DE ACAPULCO,PUBLICO,2023,5540
ZM DE ACAPULCO,PUBLICO,2024,5522
ZM DE ACAYUCAN,PRIVADO,2014,87
ZM DE ACAYUCAN,PRIVADO,2015,183
ZM DE ACAYUCAN,PRIVADO,2016,179
ZM DE ACAYUCAN,PRIVADO,2017,169
ZM DE ACAYUCAN,PRIVADO,2018,156
ZM DE ACAYUCAN,PRIVADO,2019,218
ZM DE ACAYUCAN,PRIVADO,2020,231
ZM DE ACAYUCAN,PRIVADO,2021,275
ZM DE ACAYUCAN,PRIVADO,2022,308
ZM DE ACAYUCAN,PRIVADO,2023,332
ZM DE ACAYUCAN,PRIVADO,2024,106
ZM DE ACAYUCAN,PUBLICO,2014,1415
ZM DE ACAYUCAN,PUBLICO,2015,1593
ZM DE ACAYUCAN,PUBLICO,2016,1474
ZM DE ACAYUCAN,PUBLICO,2017,1243
ZM DE ACAYUCAN,PUBLICO,2018,1177
ZM DE ACAYUCAN,PUBLICO,2019,1112
ZM DE ACAYUCAN,PUBLICO,2020,1012
ZM DE ACAYUCAN,PUBLICO,2021,921
ZM DE ACAYUCAN,PUBLICO,2022,1049
ZM DE ACAYUCAN,PUBLICO,2023,835
ZM DE ACAYUCAN,PUBLICO,2024,764
ZM DE AGUASCALIENTES,PRIVADO,2014,4928
ZM DE AGUASCALIENTES,PRIVADO,2015,4941
ZM DE AGUASCALIENTES,PRIVADO,2016,5372
ZM DE AGUASCALIENTES,PRIVADO,2017,6215
ZM DE AGUASCALIENTES,PRIVADO,2018,8004
ZM DE AGUASCALIENTES,PRIVADO,2019,7813
ZM DE AGUASCALIENTES,PRIVADO,2020,6937
ZM DE AGUASCALIENTES,PRIVADO,2021,9874
ZM DE AGUASCALIENTES,PRIVADO,2022,8610
ZM DE AGUASCALIENTES,PRIVADO,2023,8446
ZM DE AGUASCALIENTES,PRIVADO,2024,8836
ZM DE AGUASCALIENTES,PUBLICO,2014,7289
ZM DE AGUASCALIENTES,PUBLICO,2015,7455
ZM DE AGUASCALIENTES,PUBLICO,2016,7834
ZM DE AGUASCALIENTES,PUBLICO,2017,7970
ZM DE AGUASCALIENTES,PUBLICO,2018,8184
ZM DE AGUASCALIENTES,PUBLICO,2019,7747
ZM DE AGUASCALIENTES,PUBLICO,2020,7646
ZM DE AGUASCALIENTES,PUBLICO,2021,7559
ZM DE AGUASCALIENTES,PUBLICO,2022,7432
ZM DE AGUASCALIENTES,PUBLICO,2023,8218
ZM DE AGUASCALIENTES,PUBLICO,2024,8983
ZM DE CAMPECHE,PRIVADO,2014,919
ZM DE CAMPECHE,PRIVADO,2015,1067
ZM DE CAMPECHE,PRIVADO,2016,1051
ZM DE CAMPECHE,PRIVADO,2017,997
ZM DE CAMPECHE,PRIVADO,2018,1739
ZM DE CAMPECHE,PRIVADO,2019,1953
ZM DE CAMPECHE,PRIVADO,2020,1869
ZM DE CAMPECHE,PRIVADO,2021,1947
ZM DE CAMPECHE,PRIVADO,2022,2801
ZM DE CAMPECHE,PRIVADO,2023,2528
ZM DE CAMPECHE,PRIVADO,2024,2458
ZM DE CAMPECHE,PUBLICO,2014,3018
ZM DE CAMPECHE,PUBLICO,2015,2977
ZM DE CAMPECHE,PUBLICO,2016,3193
ZM DE CAMPECHE,PUBLICO,2017,3116
ZM DE CAMPECHE,PUBLICO,2018,3044
ZM DE CAMPECHE,PUBLICO,2019,3074
ZM DE CAMPECHE,PUBLICO,2020,3374
ZM DE CAMPECHE,PUBLICO,2021,3171
ZM DE CAMPECHE,PUBLICO,2022,2937
ZM DE CAMPECHE,PUBLICO,2023,3082
ZM DE CAMPECHE,PUBLICO,2024,3139
ZM DE CANCUN,PRIVADO,2014,2986
ZM DE CANCUN,PRIVADO,2015,3196
ZM DE CANCUN,PRIVADO,2016,3716
ZM DE CANCUN,PRIVADO,2017,4407
ZM DE CANCUN,PRIVADO,2018,4922
ZM DE CANCUN,PRIVADO,2019,5590
ZM DE CANCUN,PRIVADO,2020,4678
ZM DE CANCUN,PRIVADO,2021,5263
ZM DE CANCUN,PRIVADO,2022,4689
